taxid,legal_entity_name,doing_business_as,legal_entity_type,legal_addr,legal_addr2,legal_city,legal_state,legal_zip,email,mail_care_of,mail_addr,mail_addr2,mail_city,mail_state,mail_zip
012345678,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000001,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000002,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000003,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000004,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000005,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000006,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000007,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000008,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
100000009,Pretend Company LLC,,LIMITED_LIABILITY_COMPANY,"123 Pretend Street, Suite 2",,San Diego,CA,92121,bob@pretendemail.com,c/o Pretend People,"123 Pretend Street, Suite 2",,San Diego,CA,92121
